A	a
Aaaaa	a . a . a . aa . a
Abda	aa b . d a
abdykacja	a b . d y . k aa . ts j a
abdykację	a b . d y . k aa . ts j e
aborcje	a . b oo r . ts j e
aborcji	a . b oo r . ts i
aborcyjnej	a . b o r . ts yy j . n e j
About	a . b oo . u d
About	a . b oo . u t
absolwent	a . p s oo l . v e n d
absolwent	a . p s oo l . v e n t
absolwentem	a . p s o l . v ee n . t e m
absurdalne	a . p s u r . d aa l . n e
Absurdalnoa	a . p s u r . d a l . n oo . a
absurdalny	a . p s u r . d aa l . n y
aby	aa . b y
abym	aa . b y m
Access	aa . ts ts e s
Access	aa . ts ts e z
aczkolwiek	a . tSz k oo l . v j e g
aczkolwiek	a . tSz k oo l . v j e k
Adam	aa . d a m
Adamczak	a . d aa m . tSz a g
Adamczak	a . d aa m . tSz a k
Adamowicz	a . d a . m oo . v i drZ
Adamowicz	a . d a . m oo . v i tSz
Adamowiczem	a . d a . m o . v ii . tSz e m
Adamski	a . d aa m . s c i
Adamskiego	a . d a m . s c j ee . g o
Adelaide	a . d e . l a . ii . d e
aden	aa . d e n
adiunkt	aa d . j u N_ g d
adiunkt	aa d . j u N_ k t
Administracji	a . d m i . ni i s . t r aa . ts i
administracyjna	a . d m i . ni i s . t r a . ts yy j . n a
administracyjny	a . d m i . ni i s . t r a . ts yy j . n y
administratorów	a . d m i . ni i s . t r a . t oo . r u f
administratorów	a . d m i . ni i s . t r a . t oo . r u v
adna	aa . d n a
adne	aa . d n e
adnej	aa . d n e j
adnych	aa . d n y x
adnym	aa . d n y m
Adolf	aa . d o l f
Adolf	aa . d o l v
adoracji	a . d o . r aa . ts i
adresem	a . d r ee . s e m
adresów	a . d r ee . s u f
adresów	a . d r ee . s u v
Adwokacka	a . d v o . k aa . ts k a
Adwokackiej	a . d v o . k aa . ts c j e j
adwokacką	a . d v o . k aa . ts k o w_
adwokat	a . d v oo . k a d
adwokat	a . d v oo . k a t
adwokata	a . d v o . k aa . t a
adwokatem	a . d v o . k aa . t e m
afery	a . f ee . r y
Afganistanie	a v . g a . ni i s . t aa . ni e
Afganistanu	a v . g a . ni i s . t aa . n u
afganskich	a v . g aa w_ . s c i x
Afgańczycy	a v . g a ni . tSz yy . ts y
afgańskich	a v . g aa j_ . s c i x
